Fecha,Temperatura [°C],Registro de Lluvia [mm],Velocidad de Viento [Km/h],Rafaga de Viento [km/h],Temperatura de suelo [°C]
24-10-2019 16:20,29.366072518618,0,16.7170608,36.2504736,21.7
24-10-2019 16:30,29.2754242461238,0,18.10512,38.3627376,21.8
24-10-2019 16:40,29.1142717616897,0,17.2199808,40.1128992,21.9
24-10-2019 16:50,28.9430472469784,0,16.9584624,34.9227648,22
24-10-2019 17:00,28.7315346111586,0,17.0188128,34.0577424,22.1
24-10-2019 17:10,28.7516786717128,0,17.9441856,38.1012192,22.2
24-10-2019 17:20,28.8926870955927,0,17.4211488,35.7475536,22.2
24-10-2019 17:30,29.0336955194726,0,15.489936,40.4146512,22.3
24-10-2019 17:40,28.7718227322671,0,20.921472,39.7709136,22.4
24-10-2019 17:50,28.6207422781101,0,19.915632,37.8799344,22.4
24-10-2019 18:00,28.4998779147845,0,18.60804,38.020752,22.5
24-10-2019 18:10,28.2782932486876,0,18.8896752,39.127176,22.5
24-10-2019 18:20,28.0567085825906,0,18.0447696,40.434768,22.5
24-10-2019 18:30,27.8854840678794,0,17.2803312,33.9772752,22.6
24-10-2019 18:40,27.6941154926138,0,16.2141408,40.7968704,22.6
24-10-2019 18:50,27.4120986448541,0,17.2602144,41.8831776,22.6
24-10-2019 19:00,27.1099377365401,0,17.5217328,33.5145888,22.6
24-10-2019 19:10,26.797704797949,0,13.9007088,26.2121904,22.6
24-10-2019 19:20,26.3847515565865,0,11.5470432,23.2751376,22.6
24-10-2019 19:30,25.9415822243926,0,12.0298464,24.6028464,22.6
24-10-2019 19:40,25.4782688316445,0,9.4347792,18.004536,22.6
24-10-2019 19:50,25.0048834086192,0,9.3945456,21.5450928,22.6
24-10-2019 20:00,24.5516420461482,0,6.8195952,15.6106368,22.5
24-10-2019 20:10,24.0379685020144,0,5.4516528,12.3315984,22.5
24-10-2019 20:20,23.6048712000977,0,6.8799456,11.9896128,22.4
24-10-2019 20:30,23.2422781101209,0,7.744968,16.2744912,22.4
24-10-2019 20:40,22.9804053229154,0,8.2680048,15.7112208,22.3
24-10-2019 20:50,22.64802832377,0,7.7248512,16.4354256,22.3
24-10-2019 21:00,22.4062995971188,0,7.1012304,12.8345184,22.2
24-10-2019 21:10,22.194786961299,0,5.3510688,10.4808528,22.2
24-10-2019 21:20,21.7919057502136,0,3.5807904,7.04088,22.1
24-10-2019 21:30,21.288304236357,0,5.3510688,8.9318592,22
24-10-2019 21:40,21.0163594188744,0,5.1499008,11.3458752,22
24-10-2019 21:50,20.7847027225003,0,4.9084992,10.1791008,21.9
24-10-2019 22:00,20.4321816628006,0,4.5866304,8.8111584,21.8
24-10-2019 22:10,20.1904529361494,0,2.9370528,8.0266032,21.8
24-10-2019 22:20,19.9890123306068,0,2.916936,6.4776096,21.7
24-10-2019 22:30,19.7472836039556,0,3.6612576,4.626864,21.7
24-10-2019 22:40,19.4451226956416,0,3.2790384,7.0006464,21.6
24-10-2019 22:50,19.1631058478818,0,3.1784544,4.727448,21.6
24-10-2019 23:00,18.9012330606764,0,2.5548336,7.3023984,21.5
24-10-2019 23:10,18.6796483945794,0,1.7501616,4.1641776,21.4
24-10-2019 23:20,18.498351849591,0,2.6353008,5.9545728,21.4
24-10-2019 23:30,18.3875595165426,0,2.112264,5.5522368,21.3
24-10-2019 23:40,18.2163350018313,0,2.0317968,3.3393888,21.2
24-10-2019 23:50,17.9343181540715,0,3.6411408,5.8539888,21.2
25-10-2019 00:00,17.6925894274203,0,1.7702784,4.0635936,21.1
25-10-2019 00:10,17.0681235502381,0,3.3393888,5.0694336,21
25-10-2019 00:20,16.8666829446954,0,2.5950672,5.230368,21
25-10-2019 00:30,16.5544500061043,0,1.8909792,3.5807904,20.9
25-10-2019 00:40,16.5141618849957,0,0.8650224,1.6294608,20.9
25-10-2019 00:50,16.4134415822244,0,1.709928,4.3452288,20.8
25-10-2019 01:00,16.1717128555732,0,0.4224528,1.1466576,20.7
25-10-2019 01:10,15.9904163105848,0,0,0,20.7
25-10-2019 01:20,15.7486875839336,0,0,0,20.6
25-10-2019 01:30,15.5472469783909,0,3.0577536,13.176504,20.5
25-10-2019 01:40,15.8896960078135,0,8.2076544,14.987016,20.5
25-10-2019 01:50,16.2724331583445,0,10.56132,21.3439248,20.4
